Learning Rate,Weight Decay,Epoch,Train Loss,Train RMSE,Val Loss,Val RMSE
0.0001,1e-06,0,941.3056229874894,"tensor(30.6807, dtype=torch.float64)",873.9234050627678,tensor(29.5622)
0.0001,1e-06,1,890.4023488637563,"tensor(29.8396, dtype=torch.float64)",816.4868668586977,tensor(28.5742)
0.0001,1e-06,2,841.6398734427787,"tensor(29.0110, dtype=torch.float64)",728.6186931979272,tensor(26.9929)
0.0001,1e-06,3,789.2471476786845,"tensor(28.0935, dtype=torch.float64)",799.5788933538621,tensor(28.2768)
0.0001,1e-06,4,725.1206674936656,"tensor(26.9281, dtype=torch.float64)",619.4812412877237,tensor(24.8894)
0.0001,1e-06,5,653.0659446097709,"tensor(25.5552, dtype=torch.float64)",614.4603121357579,tensor(24.7883)
0.0001,1e-06,6,582.8218213055585,"tensor(24.1417, dtype=torch.float64)",591.3962087323589,tensor(24.3186)
0.0001,1e-06,7,515.549593951251,"tensor(22.7057, dtype=torch.float64)",403.45341233284245,tensor(20.0861)
0.0001,1e-06,8,449.3938447282121,"tensor(21.1989, dtype=torch.float64)",390.3464910445675,tensor(19.7572)
0.0001,1e-06,9,386.7659418466929,"tensor(19.6664, dtype=torch.float64)",447.43616153347875,tensor(21.1527)
0.0001,1e-06,10,328.7507790642816,"tensor(18.1315, dtype=torch.float64)",375.4584589312154,tensor(19.3768)
0.0001,1e-06,11,273.2030157759383,"tensor(16.5289, dtype=torch.float64)",255.94539814610636,tensor(15.9983)
0.0001,1e-06,12,225.0234609243032,"tensor(15.0008, dtype=torch.float64)",271.68809066280244,tensor(16.4830)
0.0001,1e-06,13,180.2983489371635,"tensor(13.4275, dtype=torch.float64)",213.23875599522745,tensor(14.6027)
0.0001,1e-06,14,141.68597818323084,"tensor(11.9032, dtype=torch.float64)",105.21242501658779,tensor(10.2573)
0.0001,1e-06,15,110.62027672432565,"tensor(10.5176, dtype=torch.float64)",80.96889828097436,tensor(8.9983)
0.0001,1e-06,16,84.38927708187619,"tensor(9.1864, dtype=torch.float64)",55.167227760437996,tensor(7.4275)
0.0001,1e-06,17,61.70214219479948,"tensor(7.8551, dtype=torch.float64)",80.74905610853627,tensor(8.9860)
0.0001,1e-06,18,45.94223170409332,"tensor(6.7781, dtype=torch.float64)",77.8398151705342,tensor(8.8227)
0.0001,1e-06,19,34.74340894673322,"tensor(5.8944, dtype=torch.float64)",66.01056297363773,tensor(8.1247)
0.0001,1e-06,20,27.356441145974237,"tensor(5.2303, dtype=torch.float64)",68.6686534266318,tensor(8.2867)
0.0001,1e-06,21,22.405981507172456,"tensor(4.7335, dtype=torch.float64)",28.22566052406065,tensor(5.3128)
0.0001,1e-06,22,20.58347575471208,"tensor(4.5369, dtype=torch.float64)",29.886766295279227,tensor(5.4669)
0.0001,1e-06,23,19.572889603795232,"tensor(4.4241, dtype=torch.float64)",26.877247187399096,tensor(5.1843)
0.0001,1e-06,24,18.354583365208395,"tensor(4.2842, dtype=torch.float64)",15.631957457911584,tensor(3.9537)
0.0001,1e-06,25,18.180581605756604,"tensor(4.2639, dtype=torch.float64)",30.386224085284816,tensor(5.5124)
0.0001,1e-06,26,18.011245907963932,"tensor(4.2440, dtype=torch.float64)",27.691977781634176,tensor(5.2623)
0.0001,1e-06,27,16.978556871414185,"tensor(4.1205, dtype=torch.float64)",17.040711226001864,tensor(4.1280)
0.0001,1e-06,28,17.178787335833988,"tensor(4.1447, dtype=torch.float64)",41.03610208726698,tensor(6.4059)
0.0001,1e-06,29,15.685660527203535,"tensor(3.9605, dtype=torch.float64)",32.76876411130351,tensor(5.7244)
0.0001,1e-06,30,16.066181725424688,"tensor(4.0083, dtype=torch.float64)",28.477908568997538,tensor(5.3365)
0.0001,1e-06,31,16.615042699349893,"tensor(4.0762, dtype=torch.float64)",22.316288521212915,tensor(4.7240)
0.0001,1e-06,32,15.417489529944755,"tensor(3.9265, dtype=torch.float64)",28.24510851214009,tensor(5.3146)
0.0001,1e-06,33,16.16802231170036,"tensor(4.0209, dtype=torch.float64)",27.909896069957362,tensor(5.2830)
0.0001,1e-06,34,15.470806369265995,"tensor(3.9333, dtype=torch.float64)",15.698610217340532,tensor(3.9621)
0.0001,1e-06,35,14.563164521552421,"tensor(3.8162, dtype=torch.float64)",19.389684427169062,tensor(4.4034)
0.0001,1e-06,36,16.072103910188417,"tensor(4.0090, dtype=torch.float64)",17.335450253178998,tensor(4.1636)
0.0001,1e-06,37,15.276070529061395,"tensor(3.9085, dtype=torch.float64)",28.86931118657512,tensor(5.3730)
0.0001,1e-06,38,14.626576082126514,"tensor(3.8245, dtype=torch.float64)",36.26105469272983,tensor(6.0217)
0.0001,1e-06,39,14.781009827433406,"tensor(3.8446, dtype=torch.float64)",18.065648755719586,tensor(4.2504)
0.0001,1e-06,40,15.929748069917833,"tensor(3.9912, dtype=torch.float64)",19.75035280950608,tensor(4.4441)
0.0001,1e-06,41,14.76219983358641,"tensor(3.8422, dtype=torch.float64)",20.615024347459116,tensor(4.5404)
0.0001,1e-06,42,14.141551476555902,"tensor(3.7605, dtype=torch.float64)",30.078639614966608,tensor(5.4844)
0.0001,1e-06,43,14.083968674170004,"tensor(3.7529, dtype=torch.float64)",20.337971702698738,tensor(4.5098)
0.0001,1e-06,44,13.637755683950475,"tensor(3.6929, dtype=torch.float64)",17.808039934404434,tensor(4.2200)
0.0001,1e-06,45,13.786264182425834,"tensor(3.7130, dtype=torch.float64)",15.634851342247378,tensor(3.9541)
0.0001,1e-06,46,13.551375318217922,"tensor(3.6812, dtype=torch.float64)",17.545161220335192,tensor(4.1887)
0.0001,1e-06,47,14.69792939650046,"tensor(3.8338, dtype=torch.float64)",14.145218037789867,tensor(3.7610)
0.0001,1e-06,48,14.13235733702376,"tensor(3.7593, dtype=torch.float64)",22.79307729967179,tensor(4.7742)
0.0001,1e-06,49,13.642299266763636,"tensor(3.6935, dtype=torch.float64)",17.463496227418222,tensor(4.1789)
0.0001,1e-05,0,13.92149605235538,"tensor(3.7312, dtype=torch.float64)",14.47938157858387,tensor(3.8052)
0.0001,1e-05,1,13.98814450341302,"tensor(3.7401, dtype=torch.float64)",22.95542000186059,tensor(4.7912)
0.0001,1e-05,2,12.997987810985462,"tensor(3.6053, dtype=torch.float64)",25.941268097969793,tensor(5.0933)
0.0001,1e-05,3,12.655546843039023,"tensor(3.5575, dtype=torch.float64)",22.44830786028216,tensor(4.7380)
0.0001,1e-05,4,12.917236860378368,"tensor(3.5941, dtype=torch.float64)",20.47819604412202,tensor(4.5253)
0.0001,1e-05,5,12.98513326000523,"tensor(3.6035, dtype=torch.float64)",21.911265623184942,tensor(4.6809)
0.0001,1e-05,6,13.162913098206392,"tensor(3.6281, dtype=torch.float64)",17.33452300871572,tensor(4.1635)
0.0001,1e-05,7,12.718434175285132,"tensor(3.5663, dtype=torch.float64)",43.602454062431086,tensor(6.6032)
0.0001,1e-05,8,13.499342641314945,"tensor(3.6741, dtype=torch.float64)",14.396707038725577,tensor(3.7943)
0.0001,1e-05,9,12.17631383973199,"tensor(3.4895, dtype=torch.float64)",17.616292765063623,tensor(4.1972)
0.0001,1e-05,10,12.046346732088038,"tensor(3.4708, dtype=torch.float64)",49.553205336293864,tensor(7.0394)
0.0001,1e-05,11,12.274970120352668,"tensor(3.5036, dtype=torch.float64)",25.234928292612874,tensor(5.0234)
0.0001,1e-05,12,11.79101172588967,"tensor(3.4338, dtype=torch.float64)",19.798137468676412,tensor(4.4495)
0.0001,1e-05,13,12.454274408237355,"tensor(3.5291, dtype=torch.float64)",17.31024246831094,tensor(4.1606)
0.0001,1e-05,14,11.544295477222752,"tensor(3.3977, dtype=torch.float64)",17.48867932827242,tensor(4.1819)
0.0001,1e-05,15,11.339832172522673,"tensor(3.3675, dtype=torch.float64)",14.231857013317846,tensor(3.7725)
0.0001,1e-05,16,11.00395064096193,"tensor(3.3172, dtype=torch.float64)",23.775733686262562,tensor(4.8760)
0.0001,1e-05,17,10.845747694453678,"tensor(3.2933, dtype=torch.float64)",23.372073288886778,tensor(4.8345)
0.0001,1e-05,18,10.499253992132239,"tensor(3.2403, dtype=torch.float64)",23.36706970968554,tensor(4.8339)
0.0001,1e-05,19,10.31359527046616,"tensor(3.2115, dtype=torch.float64)",15.085831111477267,tensor(3.8840)
