Learning Rate,Weight Decay,Epoch,Train Loss,Train RMSE,Val Loss,Val RMSE
0.0001,1e-06,0,397.3424808502197,"tensor(19.9335, dtype=torch.float64)",105.37997990269815,tensor(10.2655)
0.0001,1e-06,1,42.54740478412525,"tensor(6.5228, dtype=torch.float64)",62.13480407960953,tensor(7.8826)
0.0001,1e-06,2,33.82549117835792,"tensor(5.8160, dtype=torch.float64)",76.83998799324036,tensor(8.7658)
0.0001,1e-06,3,30.659273500700255,"tensor(5.5371, dtype=torch.float64)",117.19065232430735,tensor(10.8255)
0.0001,1e-06,4,29.8439614966109,"tensor(5.4630, dtype=torch.float64)",44.338791847229004,tensor(6.6587)
0.0001,1e-06,5,26.808257635219675,"tensor(5.1777, dtype=torch.float64)",46.94220135288854,tensor(6.8514)
0.0001,1e-06,6,25.107365854366407,"tensor(5.0107, dtype=torch.float64)",87.00487809027395,tensor(9.3276)
0.0001,1e-06,7,24.135948199194832,"tensor(4.9128, dtype=torch.float64)",30.791234662455896,tensor(5.5490)
0.0001,1e-06,8,23.417147876120904,"tensor(4.8391, dtype=torch.float64)",25.59611197440855,tensor(5.0593)
0.0001,1e-06,9,21.967606749405732,"tensor(4.6870, dtype=torch.float64)",40.76826843907756,tensor(6.3850)
0.0001,1e-06,10,22.28755751816002,"tensor(4.7210, dtype=torch.float64)",49.90620757687476,tensor(7.0644)
0.0001,1e-06,11,21.078077795698835,"tensor(4.5911, dtype=torch.float64)",51.81957535589895,tensor(7.1986)
0.0001,1e-06,12,20.42563998634751,"tensor(4.5195, dtype=torch.float64)",63.40649204869424,tensor(7.9628)
0.0001,1e-06,13,20.93162692430857,"tensor(4.5751, dtype=torch.float64)",53.345399825803696,tensor(7.3038)
0.0001,1e-06,14,19.839807092821275,"tensor(4.4542, dtype=torch.float64)",47.373808407014415,tensor(6.8829)
0.0001,1e-06,15,18.64368884112384,"tensor(4.3178, dtype=torch.float64)",24.917809271043346,tensor(4.9918)
0.0001,1e-06,16,19.332987744099384,"tensor(4.3969, dtype=torch.float64)",22.229833641359882,tensor(4.7149)
0.0001,1e-06,17,19.73388427785925,"tensor(4.4423, dtype=torch.float64)",23.220181395930627,tensor(4.8187)
0.0001,1e-06,18,19.00568363473222,"tensor(4.3596, dtype=torch.float64)",111.77873497624552,tensor(10.5725)
0.0001,1e-06,19,18.240869060722556,"tensor(4.2709, dtype=torch.float64)",63.16507605583437,tensor(7.9476)
0.0001,1e-06,20,17.464553534018027,"tensor(4.1791, dtype=torch.float64)",45.572099685668945,tensor(6.7507)
0.0001,1e-06,21,16.765298686156402,"tensor(4.0945, dtype=torch.float64)",56.84323167031811,tensor(7.5394)
0.0001,1e-06,22,16.400879589287012,"tensor(4.0498, dtype=torch.float64)",36.6888695609185,tensor(6.0571)
0.0001,1e-06,23,14.643757722184464,"tensor(3.8267, dtype=torch.float64)",42.7290496518535,tensor(6.5367)
0.0001,1e-06,24,15.918636715089953,"tensor(3.9898, dtype=torch.float64)",77.37875524643928,tensor(8.7965)
0.0001,1e-06,25,15.949836377839784,"tensor(3.9937, dtype=torch.float64)",39.51645025899333,tensor(6.2862)
0.0001,1e-06,26,14.898157190632176,"tensor(3.8598, dtype=torch.float64)",35.74723417528214,tensor(5.9789)
0.0001,1e-06,27,14.025193113894076,"tensor(3.7450, dtype=torch.float64)",46.92514799487206,tensor(6.8502)
