Learning Rate,Weight Decay,Epoch,Train Loss,Train RMSE,Val Loss,Val RMSE
0.0001,1e-06,17,17.916074596868977,"tensor(4.2327, dtype=torch.float64)",14.409368530396492,tensor(3.7960)
0.0001,1e-06,18,17.845028105297605,"tensor(4.2243, dtype=torch.float64)",21.932641010130606,tensor(4.6832)
0.0001,1e-06,19,17.37324976276707,"tensor(4.1681, dtype=torch.float64)",16.033012099804417,tensor(4.0041)
0.0001,1e-06,20,17.720518208838797,"tensor(4.2096, dtype=torch.float64)",23.05088766928642,tensor(4.8011)
0.0001,1e-06,21,17.007603334736178,"tensor(4.1240, dtype=torch.float64)",37.38797217799771,tensor(6.1146)
0.0001,1e-06,22,17.112016806731354,"tensor(4.1367, dtype=torch.float64)",24.228765868371532,tensor(4.9223)
0.0001,1e-06,23,16.805307626724243,"tensor(4.0994, dtype=torch.float64)",35.827430678952126,tensor(5.9856)
0.0001,1e-06,24,16.300460289620066,"tensor(4.0374, dtype=torch.float64)",25.026085515176096,tensor(5.0026)
0.0001,1e-06,25,16.037470505688642,"tensor(4.0047, dtype=torch.float64)",33.133261911330685,tensor(5.7561)
0.0001,1e-06,26,15.626082336580431,"tensor(3.9530, dtype=torch.float64)",17.81877424255494,tensor(4.2212)
0.0001,1e-06,27,15.674844192814183,"tensor(3.9591, dtype=torch.float64)",78.2638334766511,tensor(8.8467)
0.0001,1e-06,28,15.487455317780778,"tensor(3.9354, dtype=torch.float64)",24.798608341524677,tensor(4.9798)
0.0001,1e-06,29,15.49634058153307,"tensor(3.9365, dtype=torch.float64)",36.52425350681428,tensor(6.0435)
0.0001,1e-06,30,15.259081007983234,"tensor(3.9063, dtype=torch.float64)",30.512251588606066,tensor(5.5238)
0.0001,1e-06,31,14.762446098069887,"tensor(3.8422, dtype=torch.float64)",30.55634727016572,tensor(5.5278)
0.0001,1e-06,32,14.448104397670642,"tensor(3.8011, dtype=torch.float64)",40.36853967174407,tensor(6.3536)
0.0001,1e-06,33,14.440320966050432,"tensor(3.8000, dtype=torch.float64)",16.516164348971458,tensor(4.0640)
0.0001,1e-06,34,14.909493171846544,"tensor(3.8613, dtype=torch.float64)",25.637625209746822,tensor(5.0634)
0.0001,1e-06,35,14.366975973747872,"tensor(3.7904, dtype=torch.float64)",16.20897388458252,tensor(4.0260)
0.0001,1e-06,36,14.18438607679831,"tensor(3.7662, dtype=torch.float64)",26.085251250574665,tensor(5.1074)
0.0001,1e-06,37,14.323060203242946,"tensor(3.7846, dtype=torch.float64)",28.588045508630813,tensor(5.3468)
0.0001,1e-06,38,14.012139419607214,"tensor(3.7433, dtype=torch.float64)",23.536377064643368,tensor(4.8514)
0.0001,1e-06,39,13.507462420334686,"tensor(3.6752, dtype=torch.float64)",64.90786590883809,tensor(8.0565)
0.0001,1e-06,40,13.757363883869068,"tensor(3.7091, dtype=torch.float64)",96.81349760486233,tensor(9.8394)
0.0001,1e-06,41,13.868262894089158,"tensor(3.7240, dtype=torch.float64)",28.672048849444234,tensor(5.3546)
0.0001,1e-06,42,13.914097386437493,"tensor(3.7302, dtype=torch.float64)",78.1811028757403,tensor(8.8420)
0.0001,1e-06,43,13.32471403431248,"tensor(3.6503, dtype=torch.float64)",31.148371850290605,tensor(5.5811)
0.0001,1e-06,44,13.720318926991643,"tensor(3.7041, dtype=torch.float64)",24.57260347181751,tensor(4.9571)
0.0001,1e-06,45,13.20600083711985,"tensor(3.6340, dtype=torch.float64)",38.092367279914114,tensor(6.1719)
0.0001,1e-06,46,13.457678806459581,"tensor(3.6685, dtype=torch.float64)",16.395947890896952,tensor(4.0492)
0.0001,1e-06,47,13.27142261427802,"tensor(3.6430, dtype=torch.float64)",210.47710923225648,tensor(14.5078)
0.0001,1e-06,48,12.846009294406787,"tensor(3.5841, dtype=torch.float64)",34.26396939062303,tensor(5.8535)
0.0001,1e-06,49,12.556581864485869,"tensor(3.5435, dtype=torch.float64)",68.27670435751638,tensor(8.2630)
0.0001,1e-05,0,13.766256872383323,"tensor(3.7103, dtype=torch.float64)",21.604868150526478,tensor(4.6481)
0.0001,1e-05,1,12.624686349404826,"tensor(3.5531, dtype=torch.float64)",23.44689196155917,tensor(4.8422)
0.0001,1e-05,2,12.473030269468152,"tensor(3.5317, dtype=torch.float64)",16.56441403204395,tensor(4.0699)
0.0001,1e-05,3,12.718557539501706,"tensor(3.5663, dtype=torch.float64)",15.504588817396472,tensor(3.9376)
0.0001,1e-05,4,12.631535804593886,"tensor(3.5541, dtype=torch.float64)",19.859219535704582,tensor(4.4564)
0.0001,1e-05,5,11.982748540672096,"tensor(3.4616, dtype=torch.float64)",22.580344850017177,tensor(4.7519)
0.0001,1e-05,6,11.694808858794135,"tensor(3.4198, dtype=torch.float64)",20.259625111856767,tensor(4.5011)
0.0001,1e-05,7,11.592619426830394,"tensor(3.4048, dtype=torch.float64)",30.33158674547749,tensor(5.5074)
0.0001,1e-05,8,11.48134853388812,"tensor(3.3884, dtype=torch.float64)",20.97798245568429,tensor(4.5802)
0.0001,1e-05,9,11.665111897442792,"tensor(3.4154, dtype=torch.float64)",18.12170740481346,tensor(4.2570)
0.0001,1e-05,10,11.450680670867095,"tensor(3.3839, dtype=torch.float64)",17.227482849551784,tensor(4.1506)
0.0001,1e-05,11,10.880119104643125,"tensor(3.2985, dtype=torch.float64)",22.918137081207767,tensor(4.7873)
0.0001,1e-05,12,11.095276712726902,"tensor(3.3310, dtype=torch.float64)",26.89575832889926,tensor(5.1861)
0.0001,1e-05,13,10.528293554847306,"tensor(3.2447, dtype=torch.float64)",22.01826589338241,tensor(4.6924)
0.0001,1e-05,14,10.739176219218486,"tensor(3.2771, dtype=torch.float64)",25.25400972750879,tensor(5.0253)
0.0001,1e-05,15,10.372363772263398,"tensor(3.2206, dtype=torch.float64)",24.309241529433958,tensor(4.9304)
0.0001,1e-05,16,10.004317435058388,"tensor(3.1630, dtype=torch.float64)",23.126870093807096,tensor(4.8090)
0.0001,1e-05,17,10.344853209804844,"tensor(3.2163, dtype=torch.float64)",53.5004629319714,tensor(7.3144)
0.0001,1e-05,18,9.861167099024799,"tensor(3.1402, dtype=torch.float64)",30.68689268635165,tensor(5.5396)
0.0001,1e-05,19,9.632182298479853,"tensor(3.1036, dtype=torch.float64)",20.249263444254474,tensor(4.4999)
0.0001,1e-05,20,9.451001591295809,"tensor(3.0742, dtype=torch.float64)",21.37907556949123,tensor(4.6238)
0.0001,1e-05,21,9.24309266064618,"tensor(3.0402, dtype=torch.float64)",28.050015776388108,tensor(5.2962)
0.0001,1e-05,22,9.237130395786183,"tensor(3.0393, dtype=torch.float64)",19.269394186235242,tensor(4.3897)
0.0001,1e-05,23,9.055629330712396,"tensor(3.0093, dtype=torch.float64)",21.635544938425863,tensor(4.6514)
0.0001,1e-05,24,8.847526829951518,"tensor(2.9745, dtype=torch.float64)",41.53182520404939,tensor(6.4445)
0.0001,1e-05,25,9.075517757518872,"tensor(3.0126, dtype=torch.float64)",22.386828649428583,tensor(4.7315)
0.0001,1e-05,26,8.583702630610079,"tensor(2.9298, dtype=torch.float64)",35.86833950781053,tensor(5.9890)
0.0001,1e-05,27,8.26520174387339,"tensor(2.8749, dtype=torch.float64)",31.854836110145815,tensor(5.6440)
0.0001,1e-05,28,8.129054180995839,"tensor(2.8511, dtype=torch.float64)",24.3482973383319,tensor(4.9344)
0.0001,1e-05,29,8.065009284663844,"tensor(2.8399, dtype=torch.float64)",40.2813140038521,tensor(6.3468)
0.0001,1e-05,30,7.815175029393789,"tensor(2.7956, dtype=torch.float64)",19.21059315819894,tensor(4.3830)
0.0001,1e-05,31,7.895737083538158,"tensor(2.8099, dtype=torch.float64)",53.67764020735218,tensor(7.3265)
0.0001,1e-05,32,7.9207643463804915,"tensor(2.8144, dtype=torch.float64)",24.876468466174217,tensor(4.9876)
0.0001,1e-05,33,7.592528832280958,"tensor(2.7555, dtype=torch.float64)",31.810720593698562,tensor(5.6401)
0.0001,1e-05,34,7.513679231179727,"tensor(2.7411, dtype=torch.float64)",22.161421191307806,tensor(4.7076)
0.0001,1e-05,35,7.426926619942124,"tensor(2.7252, dtype=torch.float64)",25.887161347173876,tensor(5.0879)
0.0001,1e-05,36,7.051700465743606,"tensor(2.6555, dtype=torch.float64)",17.075302224005423,tensor(4.1322)
0.0001,1e-05,37,7.1109794197855765,"tensor(2.6666, dtype=torch.float64)",32.03720909549344,tensor(5.6601)
0.0001,1e-05,38,6.983094977043771,"tensor(2.6426, dtype=torch.float64)",54.3755069240447,tensor(7.3740)
0.0001,1e-05,39,6.932987490860191,"tensor(2.6331, dtype=torch.float64)",29.601294617499075,tensor(5.4407)
0.0001,1e-05,40,7.215942197877007,"tensor(2.6863, dtype=torch.float64)",18.5907130049121,tensor(4.3117)
0.0001,1e-05,41,6.608062119741698,"tensor(2.5706, dtype=torch.float64)",23.210132368149296,tensor(4.8177)
0.0001,1e-05,42,6.660176279093768,"tensor(2.5807, dtype=torch.float64)",21.52847421169281,tensor(4.6399)
0.0001,1e-05,43,6.615098303717536,"tensor(2.5720, dtype=torch.float64)",22.339621009365207,tensor(4.7265)
0.0001,1e-05,44,6.45957018040322,"tensor(2.5416, dtype=torch.float64)",16.222104214852855,tensor(4.0277)
0.0001,1e-05,45,6.2993977089185975,"tensor(2.5099, dtype=torch.float64)",41.18171598065284,tensor(6.4173)
0.0001,1e-05,46,6.295566736040889,"tensor(2.5091, dtype=torch.float64)",26.209526285048454,tensor(5.1195)
0.0001,1e-05,47,6.03117861361117,"tensor(2.4558, dtype=torch.float64)",18.944675407102032,tensor(4.3525)
0.0001,1e-05,48,6.150786058967178,"tensor(2.4801, dtype=torch.float64)",20.534371775965536,tensor(4.5315)
0.0001,1e-05,49,6.100002286240861,"tensor(2.4698, dtype=torch.float64)",29.30748664948248,tensor(5.4136)
0.0001,0.0001,0,6.81641365772969,"tensor(2.6108, dtype=torch.float64)",40.17749561417487,tensor(6.3386)
0.0001,0.0001,1,6.073689870576601,"tensor(2.4645, dtype=torch.float64)",33.230411860250655,tensor(5.7646)
0.0001,0.0001,2,5.893265640413439,"tensor(2.4276, dtype=torch.float64)",21.961296146915807,tensor(4.6863)
0.0001,0.0001,3,5.745069780220857,"tensor(2.3969, dtype=torch.float64)",19.858562619455398,tensor(4.4563)
0.0001,0.0001,4,5.730840441987321,"tensor(2.3939, dtype=torch.float64)",19.905238409196176,tensor(4.4615)
0.0001,0.0001,5,5.693257980733304,"tensor(2.3861, dtype=torch.float64)",17.09263962699521,tensor(4.1343)
0.0001,0.0001,6,5.423809186187951,"tensor(2.3289, dtype=torch.float64)",20.59313856401751,tensor(4.5380)
0.0001,0.0001,7,5.266683057836584,"tensor(2.2949, dtype=torch.float64)",15.179160479576357,tensor(3.8960)
0.0001,0.0001,8,5.373350891551456,"tensor(2.3180, dtype=torch.float64)",22.632862114137218,tensor(4.7574)
0.0001,0.0001,9,5.227428665032258,"tensor(2.2864, dtype=torch.float64)",33.731589947977376,tensor(5.8079)
0.0001,0.0001,10,5.180593704532932,"tensor(2.2761, dtype=torch.float64)",45.04837236865874,tensor(6.7118)
0.0001,0.0001,11,5.234508997040826,"tensor(2.2879, dtype=torch.float64)",23.071572503735943,tensor(4.8033)
0.0001,0.0001,12,4.96102173521712,"tensor(2.2273, dtype=torch.float64)",30.74561212908837,tensor(5.5449)
0.0001,0.0001,13,5.0951076526899595,"tensor(2.2572, dtype=torch.float64)",43.07581979228604,tensor(6.5632)
0.0001,0.0001,14,5.020970210513553,"tensor(2.2408, dtype=torch.float64)",25.40892938644655,tensor(5.0407)
0.0001,0.0001,15,4.910412307687708,"tensor(2.2159, dtype=torch.float64)",23.584473275369213,tensor(4.8564)
0.0001,0.0001,16,4.752119206093453,"tensor(2.1799, dtype=torch.float64)",17.480281918279587,tensor(4.1809)
0.0001,0.0001,17,5.187822252995259,"tensor(2.2777, dtype=torch.float64)",18.022251867478893,tensor(4.2453)
0.0001,0.0001,18,4.827934685913292,"tensor(2.1973, dtype=torch.float64)",17.439436235735492,tensor(4.1761)
0.0001,0.0001,19,4.66860371860298,"tensor(2.1607, dtype=torch.float64)",22.828040490227362,tensor(4.7779)
0.0001,0.0001,20,4.7619686655096105,"tensor(2.1822, dtype=torch.float64)",21.42886991654673,tensor(4.6291)
0.0001,0.0001,21,4.73061243714513,"tensor(2.1750, dtype=torch.float64)",26.25417762417947,tensor(5.1239)
0.0001,0.0001,22,4.520700975366541,"tensor(2.1262, dtype=torch.float64)",25.387354481604792,tensor(5.0386)
0.0001,0.0001,23,4.350029159236598,"tensor(2.0857, dtype=torch.float64)",15.479300443203218,tensor(3.9344)
0.0001,0.0001,24,4.425042577047606,"tensor(2.1036, dtype=torch.float64)",29.029080502448544,tensor(5.3879)
0.0001,0.0001,25,4.489760125005567,"tensor(2.1189, dtype=torch.float64)",27.289171834145822,tensor(5.2239)
0.0001,0.0001,26,4.345513474619066,"tensor(2.0846, dtype=torch.float64)",21.86860812863996,tensor(4.6764)
0.0001,0.0001,27,4.399763653729413,"tensor(2.0976, dtype=torch.float64)",65.6543397749624,tensor(8.1027)
0.0001,0.0001,28,4.3000694158914925,"tensor(2.0737, dtype=torch.float64)",21.030583427798362,tensor(4.5859)
0.0001,0.0001,29,4.248360419917751,"tensor(2.0612, dtype=torch.float64)",28.719731653890303,tensor(5.3591)
0.0001,0.0001,30,4.050974103566762,"tensor(2.0127, dtype=torch.float64)",20.375272404763006,tensor(4.5139)
0.0001,0.0001,31,4.084099047892803,"tensor(2.0209, dtype=torch.float64)",26.420213345558412,tensor(5.1401)
0.0001,0.0001,32,4.043740270588849,"tensor(2.0109, dtype=torch.float64)",22.190134183053047,tensor(4.7106)
0.0001,0.0001,33,4.094635676371085,"tensor(2.0235, dtype=torch.float64)",44.66033740197459,tensor(6.6828)
0.0001,0.0001,34,3.8991712264112524,"tensor(1.9746, dtype=torch.float64)",47.03636025613354,tensor(6.8583)
0.0001,0.0001,35,3.8611905310605024,"tensor(1.9650, dtype=torch.float64)",19.880460916026944,tensor(4.4588)
0.0001,0.0001,36,3.8995639101879016,"tensor(1.9747, dtype=torch.float64)",26.234764337539673,tensor(5.1220)
0.0001,0.0001,37,3.7577139007078633,"tensor(1.9385, dtype=torch.float64)",31.01355896457549,tensor(5.5690)
0.0001,0.0001,38,3.791294551217878,"tensor(1.9471, dtype=torch.float64)",62.95369997332173,tensor(7.9343)
0.0001,0.0001,39,3.762221808046908,"tensor(1.9396, dtype=torch.float64)",19.909021300654256,tensor(4.4620)
0.0001,0.0001,40,3.943133634812123,"tensor(1.9857, dtype=torch.float64)",22.008250832557678,tensor(4.6913)
0.0001,0.0001,41,3.6207214890299615,"tensor(1.9028, dtype=torch.float64)",18.032836291097826,tensor(4.2465)
0.0001,0.0001,42,3.6422768080556716,"tensor(1.9085, dtype=torch.float64)",18.323680131666123,tensor(4.2806)
0.0001,0.0001,43,3.611508148103147,"tensor(1.9004, dtype=torch.float64)",21.563058703176438,tensor(4.6436)
0.0001,0.0001,44,3.468922972034764,"tensor(1.8625, dtype=torch.float64)",21.70888382004153,tensor(4.6593)
0.0001,0.0001,45,3.6124539336642703,"tensor(1.9006, dtype=torch.float64)",57.34915920226805,tensor(7.5729)
0.0001,0.0001,46,3.4319742995339473,"tensor(1.8526, dtype=torch.float64)",17.68815229785058,tensor(4.2057)
0.0001,0.0001,47,3.4034528896615313,"tensor(1.8448, dtype=torch.float64)",19.93438749928628,tensor(4.4648)
0.0001,0.0001,48,3.392947080973032,"tensor(1.8420, dtype=torch.float64)",18.553558468818665,tensor(4.3074)
0.0001,0.0001,49,3.504493884460346,"tensor(1.8720, dtype=torch.float64)",24.59895304326088,tensor(4.9597)
0.0001,0.001,0,3.97307402024398,"tensor(1.9933, dtype=torch.float64)",15.989245760825373,tensor(3.9987)
